Ticker,L1,L2,McapClass,Freefloat
ABB,Financials,Banking,Mid-Cap,
ACB,Financials,Banking,Large-Cap,0.85
ACG,Materials,Other Materials,Mid-Cap,0.09
ACV,Industrials,Transportation,Large-Cap,
ANV,Consumer Staples,Consumer Staples,Small-Cap,0.3
BAB,Unknown,Unknown,Unknown,
BAF,Consumer Staples,Consumer Staples,Small-Cap,0.45
BCM,Property,IP,Large-Cap,0.04
BHN,Consumer Staples,Consumer Staples,Mid-Cap,0.00866868
BIC,Financials,Insurance,Small-Cap,0.15
BID,Financials,Banking,Large-Cap,0.04
BMP,Industrials,Industrials,Mid-Cap,0.45
BSI,Financials,Brokerage,Mid-Cap,0.14
BSR,Energy,Energy,Large-Cap,0.08
BVB,Unknown,Unknown,Unknown,
BVH,Financials,Insurance,Large-Cap,0.1
BWE,Utilities,Utilities,Mid-Cap,0.25
CC1,Unknown,Unknown,Unknown,
CEO,Property,Residential,Mid-Cap,
CHP,Utilities,Utilities,Small-Cap,0.3
CII,Property,Residential,Mid-Cap,0.95
CMG,IT,IT,Mid-Cap,0.35
CTD,Industrials,Industrials,Mid-Cap,0.55
CTG,Financials,Banking,Large-Cap,0.15
CTR,Industrials,Industrials,Mid-Cap,0.35
CTS,Financials,Brokerage,Small-Cap,0.25
DBC,Consumer Staples,Consumer Staples,Mid-Cap,0.7
DBD,Health Care,Health Care,Mid-Cap,0.8
DCL,Health Care,Health Care,Small-Cap,0.45
DCM,Materials,Chemicals,Mid-Cap,0.25
DCV,Unknown,Unknown,Unknown,
DDV,Materials,Chemicals,Small-Cap,
DGC,Materials,Chemicals,Large-Cap,0.6
DGW,Consumer Discretionary,Retailing,Mid-Cap,0.55
DHG,Health Care,Health Care,Mid-Cap,0.06
DHT,Unknown,Unknown,Unknown,
DIG,Property,Residential,Mid-Cap,0.9
DNH,Unknown,Unknown,Unknown,
DPG,Property,Residential,Small-Cap,0.5
DPM,Materials,Chemicals,Mid-Cap,0.4
DSE,Financials,Brokerage,Mid-Cap,0.3
DTK,Unknown,Unknown,Unknown,
DVN,Unknown,Unknown,Unknown,
DXG,Property,Residential,Mid-Cap,0.75
DXS,Property,Residential,Small-Cap,0.4
E1VFVN30,Unknown,Unknown,Unknown,
EIB,Financials,Banking,Large-Cap,0.8
EVF,Financials,Banking,Mid-Cap,0.95
F88,Unknown,Unknown,Unknown,
FOX,IT,IT,Large-Cap,
FPT,IT,IT,Large-Cap,0.85
FRT,Consumer Discretionary,Retailing,Mid-Cap,0.55
FTS,Financials,Brokerage,Mid-Cap,0.4
FUEVFVND,Unknown,Unknown,Unknown,
GAS,Energy,Energy,Large-Cap,0.05
GEE,Industrials,Industrials,Large-Cap,0.13
GEG,Utilities,Utilities,Mid-Cap,0.25
GEL,,,Large-Cap,0.2814543
